DlyCalDt,mcap_N,mcap_Q,total_mcap,ratio_N,ratio_Q
2024-08-12,32473672885.95,28867042957.32,61340715843.270004,0.5293983358284015,0.4706016641715985
2024-08-13,32662720685.22,29555072784.29,62217793469.51,0.5249739481877713,0.4750260518122287
2024-08-14,32856261271.27,29565256215.09,62421517486.36,0.5263611426692657,0.4736388573307343
2024-08-15,33225941242.62,30275113957.57,63501055200.19,0.5232344744173729,0.4767655255826271
2024-08-16,33312362732.23,30302884765.99,63615247498.22,0.5236537472115015,0.4763462527884985
2024-08-19,33513872351.51,30728567678.27,64242440029.78,0.5216780734974329,0.47832192650256705
2024-08-20,33395282615.55,30631846075.65,64027128691.2,0.5215802004274465,0.47841979957255365
2024-08-21,33573159736.39,30814709307.33,64387869043.72,0.5214205755682564,0.4785794244317436
2024-08-22,33510720939.68,30303455497.94,63814176437.619995,0.525129725249022,0.4748702747509781
2024-08-23,33951055900.14,30738451121.86,64689507022.0,0.5248309573389347,0.4751690426610653
2024-08-26,33967190440.43,30481381420.579998,64448571861.009995,0.5270433379607504,0.47295666203924963
2024-08-27,33968494351.69,30534902427.8,64503396779.49,0.526615589994648,0.4733844100053521
2024-08-28,33879839887.29,30200742992.829998,64080582880.119995,0.5287067995413115,0.47129320045868855
2024-08-29,34031376589.44,30137112773.579998,64168489363.02,0.5303440509081413,0.4696559490918587
2024-08-30,34247564947.97,30465220464.15,64712785412.12,0.5292240896426598,0.47077591035734023
2024-09-03,33813692597.27,29502438466.98,63316131064.25,0.5340454640691419,0.4659545359308581
2024-09-04,33783700326.45,29419815635.73,63203515962.18,0.53452248363312,0.46547751636687995
2024-09-05,33527065200.96,29493999208.7,63021064409.66,0.5319977616217618,0.4680022383782381
2024-09-06,33181845397.15,28764692481.73,61946537878.880005,0.5356529441892021,0.4643470558107979
2024-09-09,33514009022.3,29095175155.18,62609184177.479996,0.5352890228899471,0.46471097711005305
2024-09-10,33503097670.92,29344198244.85,62847295915.77,0.5330873378517661,0.4669126621482339
2024-09-11,33536591419.27,29957954906.03,63494546325.3,0.528180660547645,0.47181933945235494
2024-09-12,33749489936.74,30252922667.57,64002412604.31,0.5273159020644055,0.47268409793559457
2024-09-13,34044567477.86,30453256615.65,64497824093.51,0.527840558287697,0.4721594417123029
2024-09-16,34269076080.37,30308660497.86,64577736578.229996,0.5306639392487249,0.4693360607512752
2024-09-17,34248278084.2,30366818865.59,64615096949.79,0.5300352348122772,0.4699647651877228
2024-09-18,34187569522.69,30270528726.24,64458098248.93,0.5303843962423683,0.46961560375763167
2024-09-19,34549154627.53,31011768009.84,65560922637.369995,0.5269778587258142,0.47302214127418585
2024-09-20,34484569920.5,30897513757.36,65382083677.86,0.5274314916362528,0.47256850836374714
2024-09-23,34639588837.74,30946519593.68,65586108431.42,0.5281543556431744,0.4718456443568256
2024-09-24,34670056732.18,31117691860.12,65787748592.3,0.5269986809707893,0.47300131902921067
2024-09-25,34461124052.76,31122798252.92,65583922305.68,0.5254507940549851,0.47454920594501493
2024-09-26,34608217464.37,31313490447.13,65921707911.5,0.5249896970332077,0.47501030296679225
2024-09-27,34677195530.52,31178685573.82,65855881104.34,0.5265618643166968,0.4734381356833032
2024-09-30,34782785575.04,31286369801.51,66069155376.55,0.5264602729791441,0.47353972702085584
2024-10-01,34678195851.97,30822619827.58,65500815679.55,0.5294315115345484,0.4705684884654517
2024-10-02,34690031087.33,30846725080.329998,65536756167.66,0.5293217595113178,0.4706782404886821
2024-10-03,34529171933.7,30830969241.86,65360141175.56,0.5282909631567845,0.4717090368432155
2024-10-04,34793472543.6,31197343642.57,65990816186.17,0.5272471921765961,0.47275280782340395
2024-10-07,34554517908.26,30842091889.77,65396609798.03,0.5283839332799928,0.47161606672000733
2024-10-08,34612739715.52,31269183414.4,65881923129.92,0.5253753696179031,0.4746246303820969
2024-10-09,34861871591.06,31449446779.4,66311318370.46,0.5257303345455739,0.47426966545442606
2024-10-10,34757139183.55,31433794934.63,66190934118.18001,0.5251042253232623,0.47489577467673766
2024-10-11,35150056631.85,31543599926.73,66693656558.58,0.5270374792087782,0.4729625207912218
2024-10-14,35329170319.66,31810202486.91,67139372806.57001,0.5262064395722628,0.4737935604277372
2024-10-15,35161997243.16,31499449831.95,66661447075.11,0.5274712564151456,0.47252874358485447
2024-10-16,35440708820.06,31591751116.579998,67032459936.64,0.5287096557930149,0.471290344206985
2024-10-17,35426952256.58,31600451705.489998,67027403962.07,0.5285442992336044,0.4714557007663957
2024-10-18,35492485594.83,31793473058.56,67285958653.39,0.5274872544755194,0.47251274552448075
2024-10-21,35190165808.56,31869844925.31,67060010733.869995,0.5247563402310418,0.47524365976895827
2024-10-22,35076130318.04,31919548148.39,66995678466.43,0.5235581028650355,0.4764418971349645
2024-10-23,34982332518.08,31422816292.4,66405148810.48,0.5268015077854794,0.4731984922145206
2024-10-24,34921280408.39,31664218558.57,66585498966.96,0.5244577415529781,0.47554225844702186
2024-10-25,34692290882.11,31826974675.09,66519265557.2,0.5215374913043509,0.47846250869564916
