Ticker,datadate,gsector,,,,,
KYOCY,2024-06-30,45,,,,,
LYTS,2024-06-30,20,,,,,
LXU,2024-06-30,15,,,,,
SR,2024-06-30,55,,,,,
LRCX,2024-06-30,45,,,,,
MZTI,2024-06-30,30,,,,,
DSGR,2024-06-30,20,,,,,
LEE,2024-06-30,50,,,,,
LEG,2024-06-30,25,,,,,
LLY,2024-06-30,35,,,,,
LECO,2024-06-30,20,,,,,
LNC,2024-06-30,40,,,,,
LMT,2024-06-30,20,,,,,
L,2024-06-30,40,,,,,
RRC,2024-06-30,10,,,,,
FACO,2024-06-30,40,,,,,
LPX,2024-06-30,15,,,,,
ETR2,2024-06-30,55,,,,,
LGL,2024-06-30,45,,,,,
MDU,2024-06-30,55,,,,,
MGEE,2024-06-30,55,,,,,
MGA,2024-06-30,25,,,,,
MKTAY,2024-06-30,20,,,,,
MTW,2024-06-30,20,,,,,
MRO,2024-06-30,10,,,,,
MCS,2024-06-30,50,,,,,
MARPS,2024-06-30,10,,,,,
HST,2024-06-30,60,,,,,
MMC,2024-06-30,40,,,,,
MAS,2024-06-30,20,,,,,
BTAX,2024-06-30,35,,,,,
PCRHY,2024-06-30,25,,,,,
MAT,2024-06-30,25,,,,,
MLP,2024-06-30,60,,,,,
MCD,2024-06-30,25,,,,,
MGRC,2024-06-30,20,,,,,
SPGI,2024-06-30,40,,,,,
MCK,2024-06-30,35,,,,,
SLNH,2024-06-30,45,,,,,
GENC,2024-06-30,20,,,,,
CVS,2024-06-30,35,,,,,
MRK,2024-06-30,35,,,,,
MLAB,2024-06-30,35,,,,,
MTR,2024-06-30,10,,,,,
EVI,2024-06-30,20,,,,,
MXC,2024-06-30,10,,,,,
SIEB,2024-06-30,40,,,,,
MFCO,2024-06-30,45,,,,,
ETR6,2024-06-30,55,,,,,
ETR,2024-06-30,55,,,,,
MSEX,2024-06-30,55,,,,,
MSA,2024-06-30,20,,,,,
MMM,2024-06-30,20,,,,,
ALE,2024-06-30,55,,,,,
ETR4,2024-06-30,55,,,,,
SO4,2024-06-30,55,,,,,
MITSY,2024-06-30,20,,,,,
MOD,2024-06-30,25,,,,,
MCEM,2024-06-30,15,,,,,
QDEL,2024-06-30,35,,,,,
AYE1,2024-06-30,55,,,,,
MOG.A,2024-06-30,20,,,,,
MSI,2024-06-30,45,,,,,
MUR,2024-06-30,10,,,,,
INTG,2024-06-30,60,,,,,
MYE,2024-06-30,15,,,,,
VTRS,2024-06-30,35,,,,,
BAC,2024-06-30,40,,,,,
VYX,2024-06-30,45,,,,,
NL,2024-06-30,20,,,,,
NSSC,2024-06-30,45,,,,,
NATH,2024-06-30,25,,,,,
NFG,2024-06-30,55,,,,,
